book_name,writer_name,type,characters
আনন্দমঠ,Bankim Chandra,novel,"মহেন্দ্র , কল্যাণী, ব্রহ্মচারী, বনবাসী, ভবানন্দ , গোঁসাই, ( বৈষ্ণব, ধীরানন্দ ) , সত্যানন্দ, নিমি , নিমাই, জীবানন্দ,  শান্তি , গৌরী , সুকুমারী"
ইন্দিরা,Bankim Chandra,novel,"হরমোহন দত্ত, কামিনী, (কৃষ্ণদাস বসু , কৃষ্ণদাস বাবু), বসুজপত্নী,  সুভাষিণী, হারাণী, রামরাম বাবু , গৃহিণী, ( ইন্দিরা, আমি ) , উপেন্দ্র"
কপালকুণ্ডলা,Bankim Chandra,novel,"নবকুমার, কাপালিক, (কপালকুণ্ডলা, মৃন্ময়ী), অধিকারী, (মতিবিবি, লুৎফউন্নিসা, পদ্মাবতী), শ্যামাসুন্দরী, জাহাঁঙ্গীর, সেলিম"
কৃষ্ণকান্তের উইল,Bankim Chandra,novel,"কৃষ্ণকান্ত রায়, (গোবিন্দলাল, কুমতি , সুমতি), রোহিণী, ক্ষীরি, বিনোদলাল,  শৈলবতী, হরলাল, ব্রহ্মানন্দ, ভ্রমর, বিনোদিনী, সুরধুনী, মাধবীনাথ, নিশাকর, যামিনী, শচীকান্ত "
চন্দ্রশেখর,Bankim Chandra,novel,"চন্দ্রশেখর, প্রতাপ, মহম্মদ তকি খাঁর, রমানন্দ স্বামী , মীরকাসেম , শৈবলিনী , দলনী বেগম, লরেন্স ফষ্টর,  কুল্‌সম, গুর্‌গণ খাঁ , বকাউল্লা , গল্‌ষ্টন‍ , জন্‌সন, রামচরণ, আমীর হোসেন , সুন্দরী"
দুর্গেশনন্দিনী,Bankim Chandra,novel,"জগৎসিংহ, জয়ধর, বীরেন্দ্র, বিমলা, (দুর্গেশনন্দিনী, তিলোত্তমা), ওসমান খাঁ, কতলু খাঁ, (অম্বররাজ, মানসিংহ, দিল্লীশ্বরের), আশমানি, শৈলেশ্বর,  আয়েষা, অভিরাম, রহিম"
দেবী চৌধুরাণী,Bankim Chandra,novel,"(প্রফুল্ল,  প্রফুল্লমুখী, দেবী চৌধুরাণী, দেবী রাণী, রাণীজি) , সাগর, হরবল্লভ ,  (ব্রজেশ্বর, ব্রজ), ভবানী ঠাকুর, রঙ্গরাজ , গিন্নী, ( নয়নতারা, নয়ান ) ,  ব্রহ্মঠাকুরাণী, ফুলমণি,  অলকমণি ,  পাঁচকড়ি, নিশি, লেফটেেনাণ্ট ব্রেনান, দিবা "
বিষবৃক্ষ,Bankim Chandra,novel,"(নগেন্দ্রনাথ, নগেন্দ্র), (কুন্দনন্দিনী, কুন্দ), সূর্যমুখী, দেবেন্দ্র, বিনোদ,  ( কমল, কমলমণি ) , তারাচরণ, হরিদাসী, শ্রীশচন্দ্র , ব্রহ্মচারী,  হীরা , কৌশল্যা , সতীশ "
মৃণালিনী,Bankim Chandra,novel,"মৃণালিনী,   গৌড়েশ্বর, হেমচন্দ্র, ঊর্ণনাভ, মাধবাচার্য , দিগ্বিজয়, মণিমালিনী,  গিরিজায়া, ব্যোমকেশ, হৃষীকেশ , পশুপতি, জনার্দন , মনোরমা, (মহম্মদ আলি , যবন), শান্তশীল,  দুর্গাদাস"
যুগলাঙ্গুরীয়,Bankim Chandra,novel,"ধনদাস, হিরণ্ময়ী, অমলা, অমলা, পুরন্দর, আনন্দস্বামী, রাজা "
রজনী,Bankim Chandra,novel,"রজনী, শচীন্দ্র ,  মোহিনী , লবঙ্গলতা, রামসদয়, হীরালাল , গোবিন্দকান্ত , হরেকৃষ্ণ , গোপাল বাবু, রাজচন্দ্র দাস , অমরনাথ , বিষ্ণুরাম বাবু , সন্ন্যাসী, মালী বৌ"
রাজসিংহ,Bankim Chandra,novel,
রাধারাণী,Bankim Chandra,novel,"রাধারাণী, ( রুক্মিণীকুমার,  দেবেন্দ্রনারায়ণ ) , সমভিব্যাহারী, পদ্মলোচন , কামাখ্যা বাবু, বসন্ত , দেওয়ানজি"
সীতারাম,Bankim Chandra,novel,"সীতারাম , শ্রী, (জয়ন্তী , সন্ন্যাসিনী),  চন্দ্রচূড়, গঙ্গারাম, চন্দ্রচূড়, ( চাঁদশাহ, শাহ সাহেব ) ,  রমা  ,  নন্দা , মুরলা , মৃণ্ময়, ভৈরবী "
অচিনপুর,Humayun Ahmed,novel,"বাদশা মামা, নবুমামা , নানাজান, লিলি, হাসনা , টগর, লালমামি, সফুরা খালা, হাসান আলী ,  রঞ্জু"
অনিল বাগচির একদিন,Humayun Ahmed,novel,"অনিল, (আয়ুব আলি, আয়ুব), আবু হোসেন, মুক্তি , (সুরেশ বাগচী, সুরেশ), ( মোক্তার পাগলি, পাগলি),  ( গফুর সাহেব, গফুর) , অতসী , জোবায়েদ , (কর্নেল এলাহী, কর্নেল) , বরুণ, পাপিয়া"
অন্ধকারের গান (১৯৯৭),Humayun Ahmed,novel,"বুলু, ওসমান গনি, মিজান সাহেব,  লীনা, বাবলু,  ফরিদা, বীণা , বোরহান সাহেব , প্রফেসর বড়ুয়া , অলিক, মজনু মিয়া , রাহেলা, বাবু "
অন্যদিন,Humayun Ahmed,novel,"সফিক , রশীদ মিয়া, (জ্যোতির্ষিণব, নিশানাথ বাবু), রঞ্জু , পারুল , করিম সাহেব, আজীজ সাহেব , সিরাজ সাহেব , নবী সাহেব , শেলী "
অপরাহ্ন,Humayun Ahmed,novel,"(মনিরউদ্দিন , মনির), শরিফা, নিবারণ , খবির হোসেন, অন্তু মিয়া, দবির, জলিল, বজলু সরকার , নিয়ামত খাঁ "
অপেক্ষা,Humayun Ahmed,novel,"সুরাইয়া, ইমন, জামিলুর রহমান, মিতু, ফাতেমা, সুপ্ৰভা, শোভন, ফিরোজ , আকলিমা বেগম, হাসানুজ্জামান, রকিব সাহেব , নবনী "
আকাশ জোড়া মেঘ,Humayun Ahmed,novel," ফিরোজ,  অপালা , হেলেনা, ( বি. করিম, করিম ), নিশানাথবাবু, গোমেজ, ফখরুদ্দিন সাহেব, রমিজ সাহেব, হাজি সাহেব, তাজিন, লতিফা, সোমা"
আজ চিত্রার বিয়ে,Humayun Ahmed,novel,"চিত্রা, শায়লা, ফরিদা, রহমান সাহেব , মীরা, আহসান, মজনু, রতন , পূর্তমন্ত্রী , জহির, বাবু , নিজাম সাহেব"
আমাদের সাদা বাড়ি (১৯৯৬),Humayun Ahmed,novel,"(বুনো , বুনোভাই) , রিমি , পলি , জিতু , (রঞ্জু  , আমি) , নীতু , শ্রাবণী ,  মইনুদিন , বাবা  , মা  , তানিয়া , মুনিয়া , শোভা , (মেজোভাই , ইস্তিয়াক), বড় আপা "
আশাবরী (১৯৯১),Humayun Ahmed,novel,"বাবা  ,  মা , (ভাইয়া , রঞ্জু ) , মীরা , সুলায়মান সাহেব , দুলু  , ব্যারিস্টার সাহেব , রেনু , আভা"
আসমানীরা তিন বোন (২০০২),Humayun Ahmed,novel,"আসমানী, জামদানী, পয়সা, জমির আলী, বশির মোল্লা  , আছিয়া  , রমিলা  , ইয়াকুব সাহেব , হারুন , তৈয়ব আলী , খসরু , কালু , বগা চাচা ,  পোর্টার  , রকিবউদ্দিন ,  মতিন "
ইস্টিশন (১৯৯৯),Humayun Ahmed,novel,"রঞ্জু  , (আজহার উদ্দিন , বাবা) , সুরমা ,  টগর , কুসুম , রহিমা , বদরুল স্যার  , রহমান চাচা , কামরুল , (জাপানি ইঞ্জিনিয়ার) , হারুন , জমশেদ "
উড়ালপঙ্খী (২০০২),Humayun Ahmed,novel,"মুহিব  , শামসুদ্দিন সাহেব  , মনোয়ারা  , ইয়াসমিন , তৌফিকুর রহমান , নোরা  , ইসকান্দর  , সফিক , হারুন , মহসিন  ,রেজা  , ইয়াকুব  ,  আরজু সাহেব , যূথী  , তোফাজ্জল  , বুলু  , শিকদার সাহেব , খায়রুল  , রহমতউল্লাহ "
এইসব দিনরাত্রি (১৯৯০),Humayun Ahmed,novel,"শফিক  , শাহানা , করিম , নীলু  , আনিস ,  টুনি , শারমিন , রফিক , সাব্বির , মনোয়ারা , কবির সাহেব  ,  রহমান সাহেব  , হোসেন সাহেব  , টলম্যান  , শওকত  ,  বাবলু "
কবি (১৯৯৬)- হুমায়ূন আহমেদ,Humayun Ahmed,novel,"আতাহার  , সাজাদ  , মজিদ  , রশীদ সাহেব , সালমা বানু , মিলি  , হোসেন সাহেব  , নিতু , গনি সাহেব , লীলাবতী , কণা , মদিনা  , মোসাদ্দেক , জহির  , ফরহাদ , ওয়াদুদ সাহেব , জাহেদা  , আবদুল্লাহ"
কোথাও কেউ নেই,Humayun Ahmed,novel,"মুনা  , বাকের  , বদি  , মজনু  , মতি , বকুল , মামুন  , পাল বাবু  , ফরিদা , আলম সাহেব , বাবু  , জলিল মিয়া , টিনা , শওকত সাহেব , লতিফা  , ফজলু , হাসান , জাহানারা  , সিদ্দিক সাহেব , "
নন্দিত নরকে (১৯৭০),Humayun Ahmed,novel,"রাবেয়া, মাস্টার কাকা , মা  , শীলু  , মন্টু ,  রুনু , হারুন , নাহার , খোকা ,  রমিজ "
প্রিয়তমেষু (১৯৮৮),Humayun Ahmed,novel,"পুষ্প  , নিশাত  , জহির  , রকিব , মিজান , সরদার এ করিম , মিশ্র বাবু , পল্টু , সুরমা  , নুরুদ্দিন , মীরু , খালেকুজ্জামান"
বহুব্রীহি (১৯৯০),Humayun Ahmed,novel,"সোবাহান সাহেব , বিলু , মিলি  , মিনু , কাদের , ফরিদ , মনসুর , টগর  , রহিমার মা , পুতুল ,  এমদাদ খোন্দকার , নিশা  , রাত্ৰি "
মেঘ বলেছে যাব যাব,Humayun Ahmed,novel,"হাসান , তিতলী , তারেক , রীনা , লাবনী , লায়লা , হিশামুদ্দিন , চিত্রলেখা , সুমি , শওকত , নাদিয়া , আশরাফুজ্জামান , লিটন , মতিনউদ্দিন  , সুরাইয়া , শম্পা , রকিব , আম্বিয়া খাতুন , সেকান্দর আলী , রহমান "
মেঘের ছায়া (১৯৯৩),Humayun Ahmed,novel,
শঙ্খনীল কারাগার (১৯৭৩),Humayun Ahmed,novel,"আবিদ হোসেন , রাবেয়া , রুনু  , ঝুনু ,  নিনু ,  মন্টু  , মা ,  বাবা , সুহাসিনী , কিটকি , আতিক  , সবুজ , মনসুর  , নিলু ,  খোকা"
 শেষের কবিতা,Rabindranath Tagore,novel,"অমিত, নবকৃষ্ণ, সিসি, লিসি, লিলি, নিবারণ, জ্ঞানদাশংকর, যোগমায়া, রামলোচন, যতিশংকর, সুরমা, লাবণ্য, শোভনলাল, ননীগোপাল, অবনীশ, অমরেশ, কুমার, নরেন,  কেটি"
গোরা,Rabindranath Tagore,novel,"গোরা, বিনয়, আনন্দময়ী, বরদাসুন্দরী, পরেশবাবু, মহিম, সুচরিতা, অবিনাশ, মতিলাল, বসন্ত , রমাপতি, ব্রাউন্‌লো , ললিতা, সতীশ, শশিমুখী, হরিমোহিনী, হারানবাবু"
ঘরে বাইরে,Rabindranath Tagore,novel,"(বিমলা, বিমল), (সন্দীপ, সন্দীপবাবু) ,  গিল্‌বি, নিখিল,  মুনু, চন্দ্রনাথবাবু, মক্ষী, হরিমতি, মেজোরানী, পঞ্চু, বড়োরানী, অমূল্য"
চতুরঙ্গ,Rabindranath Tagore,novel,"শচীশ, উইল্‌কিন্‌স্‌ , জগমোহন,  হরিমোহন, পুরন্দর , ননি, লীলানন্দস্বামী, দামিনী, শিবতোষ, গুরুজি"
চার অধ্যায়,Rabindranath Tagore,novel,"এলা, অখিল, নরেশ, মায়াময়ী, সুরেশ , মাধবী, ইন্দ্রনাথ, উমা, সুকুমার, কানাইগুপ্ত, কানাই, (অতীন্দ্রবাবু, অন্তু, অতীন)"
চোখের বালি,Rabindranath Tagore,novel,"বিনোদিনী, হরিমতি, রাজলক্ষ্মী, মহেন্দ্র, বিহারী, আশা, অন্নপূর্ণা  "
দুই বোন,Rabindranath Tagore,novel,"শর্মিলা, শশাঙ্ক, মথুরদাদা, (রাজারামবাবু ,রাজারাম), হেমন্ত, (ঊর্মিমালা, ঊর্মি ), নীরদ"
নৌকাডুবি,Rabindranath Tagore,novel,"রমেশ, (অন্নদাবাবু, অন্নদা) , হেমনলিনী, অক্ষয়, ব্রজমোহন, ঈশান, সুশীলা, কমলা, তারিণীচরণ, যোগেন্দ্র, নলিনাক্ষ, উমেশ, 
শৈলজা, ক্ষেমংকরী, মুকুন্দবাবু"
বউ-ঠাকুরানীর হাট,Rabindranath Tagore,novel,"বিভা, বসন্ত, সুরমা , (রামচন্দ্র, সেনাপতি),  রুক্মিণী, (উদয়াদিত্য, যুবরাজ), (প্রতাপাদিত্য, মহারাজ, প্রতাপ), মন্ত্রী, পাঠান, উমেশ, রমাই, হরিশংকর, (ফর্নান্ডিজ, সেনাপতি), রামমোহন, সীতারাম, মঙ্গলা, মাতঙ্গ , মহিষী, ভাগবত"
মালঞ্চ,Rabindranath Tagore,novel,"নীরজা, রোশনি, রমেন , আদিত্য, সরলা, গণেশ"
যোগাযোগ,Rabindranath Tagore,novel,"অবিনাশ, মুকুন্দলাল, ( কুমু , কুমুদিনী ) , ছাত্রবন্ধু, নবগোপাল, বিপ্রদাস, ( মধুসূদন , মধু ) , হাবলু, আনন্দ ঘোষাল, নন্দরানী, দেওয়ানজি,  ( শ্যামাসুন্দরী, শ্যামা ) "
আগুন পাখির রহস্য (১৯৯৪),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  , জোজো  , রঘু  , অরিন্দম  , অনির্বাণ  , টোবি দত্ত , ( কর্নেল ,  সমর ) , অমিয়ভূষণ , ডাক্তার ,  শৈবাল  , মণিকা  , মালবিকা , সুশীল , সেলিম , মামুন , ফাগুলাল , চুনি "
উল্কা-রহস্য (১৯৯০),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  , অম্বর  , ( বিচারক , বৃদ্ধ , জজসাহেব  ) , কুমার সিং , ভুবন দাস , কার্ল  , বেয়ারা  , প্ৰবীর  , ভার্গব , ( ভূপেন  ,   বড়ঠাকুর ) , ইউসুফ , পদ্মনাভন , রাজীব "
কলকাতার জঙ্গলে (১৯৮৬),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  ,   দেবলীনা  ,  শৈবাল দত্ত  , ধ্রুব রায় , রাজকুমার  , টাইগার  , জগাই মল্লিক "
কাকাবাবু ও বজ্র লামা (১৯৯০),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  ,  নরেন্দ্র ভার্মা , নরবু , ( বজ্র লামা , লামাজি ) , ফিলিপ তামাং , বীরেন্দ্র সিং ,  প্রাচীন লামা , অ্যালবার্ট গুরুং , জগমোহন  "
কাকাবাবু হেরে গেলেন (১৯৯২),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  , বিমান , দীপা , অসিত  , ভানু  , ব্ৰজেন , কমিশনার  , রঘু  ,  নজরুল ইসলাম "
কাকাবাবুর প্রথম অভিযান (১৯৯৭),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  ,  জোজো   ,   অংশু  , কামাল , বাবা , মা , নরেন্দ্র ভার্মা , ডালিমকুমার  , সূর্যপ্রসাদ ,  জাভেদ দুরানি , অবোধরাম পেহলবান "
খালি জাহাজের রহস্য (১৯৮১),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  ,  জোজো   , বিমান , সারেঙসাহেব , সাধু , রণবীর ভট্টাচার্য , আকবর খান ,  প্রশান্ত দত্ত , রেঞ্জার , কাশেম , হারু দফাদার  , ( ইংগামার স্মেল্ট , বৃদ্ধ )"
পাহাড় চূড়ায় আতঙ্ক (১৯৮১),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  ,  মিংমা  , ভার্মা , নোরবু  , রানা , জং বাহাদুর  , কেইন শিপটন , টমাস ত্ৰিভুবন "
বিজয়নগরের হিরে (১৯৮৯),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  ,  জোজো   ,  মোহন সিং  , জানকী , কস্তুরী  , রঞ্জন  , রিঙ্কু , শর্মাজি , বিরজু সিং "
ভয়ংকর সুন্দর (কাকাবাবু) (১৯৭২),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , ( সন্তু  , আমি ) ,  সূচা সিং , ( স্নিগ্ধাদি  , স্নিগ্ধা ) , ( সিদ্ধাৰ্থদা , সিদ্ধাৰ্থ ) , রিণি , মীর্জা আলি  , গুরুবচ্চন সিং "
