writer_name,book_name,count(*),
Shirshendu Mukhopadhyay,পাগলা সাহেবের কবর,9,
Shirshendu Mukhopadhyay,বাসস্টপে কেউ নেই,9,
Shirshendu Mukhopadhyay,সিঁড়ি ভেঙে ভেঙে,9,
Sunil Gangopadhyay,উল্কা-রহস্য (১৯৯০),9,
Sunil Gangopadhyay,কলকাতার জঙ্গলে (১৯৮৬),9,
Sunil Gangopadhyay,কাকাবাবু ও আশ্চর্য দ্বীপ (২০০৪),9,
Sunil Gangopadhyay,কাকাবাবু ও সিন্দুক-রহস্য (২০০৫),9,
Sunil Gangopadhyay,ভূপাল রহস্য (১৯৮৩),9,
Sunil Gangopadhyay,মিশর রহস্য (১৯৮৫),9,
Sunil Gangopadhyay,"সন্তু কোথায়, কাকাবাবু কোথায় (১৯৯৬)",9,
Zafar Iqbal,ওমিক্রনিক রূপান্তর,9,
Zafar Iqbal,টাইট্রন একটি গ্রহের নাম,9,
Zafar Iqbal,পৃ,9,
Zafar Iqbal,ফোবিয়ানের যাত্রী,9,
Zafar Iqbal,যারা বায়োবট,9,
Zafar Iqbal,রবোনগরী,9,
Bankim Chandra,যুগলাঙ্গুরীয়,10,
Bankim Chandra,২য় খণ্ড (বৃন্দাবন),10,
Humayun Ahmed,আজ আমি কোথাও যাব না (২০০২),10,
Humayun Ahmed,আমরা কেউ বাসায় নেই,10,
Humayun Ahmed,কুটু মিয়া (২০০১),10,
Humayun Ahmed,কুহক (১৯৯১),10,
Humayun Ahmed,চক্ষে আমার তৃষ্ণা (২০০৯),10,
Humayun Ahmed,তন্দ্রাবিলাস – মিসির আলি,10,
Humayun Ahmed,দিনের শেষে (২০০৩),10,
Humayun Ahmed,নি,10,
Humayun Ahmed,বোতল ভূত,10,
Humayun Ahmed,রং পেন্সিল,10,
Humayun Ahmed,শুভ্র গেছে বনে (২০১০),10,
Humayun Ahmed,সেরা কিশোর গল্প,10,
Humayun Ahmed,হিমু এবং একটি রাশিয়ান পরী (২০১১),10,
Rabindranath Tagore,মালঞ্চ,10,
Sarat Chandra Chattopadhyay,অরক্ষণীয়া,10,
Sarat Chandra Chattopadhyay,কাশীনাথ,10,
Sarat Chandra Chattopadhyay,ছবি,10,
Sarat Chandra Chattopadhyay,বড়দিদি,10,
Shirshendu Mukhopadhyay,বেশি দূরে নয়,10,
Shirshendu Mukhopadhyay,হিরের আংটি,10,
Sunil Gangopadhyay,কাকাবাবু ও ব্ল্যাক প্যান্থার (২০০৩),10,
Sunil Gangopadhyay,কাকাবাবু ও শিশুচোরের দল (২০০১),10,
Sunil Gangopadhyay,কাকাবাবু বনাম চোরাশিকারি (১৯৯৫),10,
Sunil Gangopadhyay,কাকাবাবুর প্রথম অভিযান (১৯৯৭),10,
Sunil Gangopadhyay,ভয়ংকর সুন্দর (কাকাবাবু) (১৯৭২),10,
Sunil Gangopadhyay,রাজবাড়ির রহস্য (১৯৮৮),10,
Sunil Gangopadhyay,সবুজ দ্বীপের রাজা (১৯৭৮),10,
Zafar Iqbal,অনুরন গোলক,10,
Zafar Iqbal,ক্রুগো,10,
Zafar Iqbal,ত্রিনিত্রি রাশিমালা,10,
Zafar Iqbal,শাহনাজ ও ক্যাপ্টেন ডাবলু,10,
Bankim Chandra,সীতারাম,11,
Bankim Chandra,৪র্থ খণ্ড (ইন্দ্রপ্রস্থ),11,
Humayun Ahmed,অনন্ত নক্ষত্রবীথি (১৯৮৮),11,
Humayun Ahmed,ওমেগা পয়েন্ট (২০০০),11,
Humayun Ahmed,কৃষ্ণপক্ষ,11,
Humayun Ahmed,দরজার ওপাশে (১৯৯২),11,
Humayun Ahmed,নবনী (১৯৯৩),11,
Humayun Ahmed,নিউইয়র্কের নীলাকাশে ঝকঝকে রোদ,11,
Humayun Ahmed,পাখি আমার একলা পাখি (১৯৯২),11,
Humayun Ahmed,পারাপার (১৯৯৩),11,
Humayun Ahmed,পারুল ও তিনটি কুকুর (১৯৯৫),11,
Humayun Ahmed,বাদল দিনের দ্বিতীয় কদম ফুল (২০০৯),11,
Humayun Ahmed,মৃণ্ময়ীর মন ভালো নেই (২০০৬),11,
Humayun Ahmed,যখন নামিবে আঁধার – মিসির আলি,11,
Humayun Ahmed,সানাউল্লাহর মহাবিপদ (২০০৯),11,
Humayun Ahmed,হলুদ হিমু কালো র‍্যাব (২০০৬),11,
Humayun Ahmed,হিমুর দ্বিতীয় প্রহর (১৯৯৭),11,
Kazi Nazrul,ব্যথার দান (১৯২২),11,
Sunil Gangopadhyay,জোজো অদৃশ্য (১৯৯৮),11,
Sunil Gangopadhyay,পায়ের তলার মাটি,11,
Zafar Iqbal,আমি তপু (২০০৫),11,
Zafar Iqbal,ক্রোমিয়াম অরণ্য,11,
Bankim Chandra,৬ষ্ঠ খণ্ড (কুরুক্ষেত্র),12,
Humayun Ahmed,অন্য ভুবন – মিসির আলি,12,
Humayun Ahmed,আমার আছে জল,12,
Humayun Ahmed,আমি এবং আমরা – মিসির আলি,12,
Humayun Ahmed,জীবনকৃষ্ণ মেমোরিয়াল হাইস্কুল,12,
Humayun Ahmed,তারা তিন জন (২০০২),12,
Humayun Ahmed,তিথির নীল তোয়ালে (১৯৯৩),12,
Humayun Ahmed,বৃষ্টি ও মেঘমালা (২০০১),12,
Humayun Ahmed,যদিও সন্ধ্যা (২০০০),12,
Humayun Ahmed,রজনী (২০০৩),12,
Humayun Ahmed,সাজঘর,12,
Sarat Chandra Chattopadhyay,পরিণীতা,12,
Sarat Chandra Chattopadhyay,বামুনের মেয়ে,12,
Sarat Chandra Chattopadhyay,১ম পর্ব,12,
Sunil Gangopadhyay,অরণ্যের দিনরাত্রি,12,
Sunil Gangopadhyay,কাকাবাবু ও চন্দনদস্যু (১৯৯৯),12,
Sunil Gangopadhyay,কাকাবাবুর চোখে জল (২০০৮),12,
Zafar Iqbal,টুকি ও ঝায়ের (প্রায়) দুঃসাহসিক অভিযান,12,
Zafar Iqbal,প্রডিজি,12,
Zafar Iqbal,ব্ল্যাকহোলের বাচ্চা,12,
Humayun Ahmed,অচিনপুর,13,
Humayun Ahmed,আজ দুপুরে তোমার নিমন্ত্রণ (২০০৯),13,
Humayun Ahmed,আমার ছেলেবেলা,13,
Humayun Ahmed,জলপদ্ম (১৯৯২),13,
Humayun Ahmed,দারুচিনি দ্বীপ (১৯৯১),13,
Humayun Ahmed,হিমুর হাতে কয়েকটি নীলপদ্ম (১৯৯৬),13,
Rabindranath Tagore,যোগাযোগ,13,
Samaresh Majumdar,উত্তরাধিকার – সমরেশ মজুমদার,13,
Sarat Chandra Chattopadhyay,দত্তা,13,
Sarat Chandra Chattopadhyay,বৈকুন্ঠের উইল,13,
Sunil Gangopadhyay,মনের মানুষ,13,
Zafar Iqbal,অবনীল,13,
Zafar Iqbal,নিতু আর তার বন্ধুরা,13,
Zafar Iqbal,রবো নিশি,13,
Bankim Chandra,০১ কমলাকান্তের দপ্তর,14,
Humayun Ahmed,অপরাহ্ন,14,
Humayun Ahmed,নক্ষত্রের রাত (২০০৩),14,
Humayun Ahmed,মিসির আলির অমিমাংসিত রহস্য,14,
Humayun Ahmed,মেঘের ছায়া (১৯৯৩),14,
Humayun Ahmed,রূপা (২০১০),14,
Humayun Ahmed,সাক্ষাৎকার,14,
Humayun Ahmed,সৌরভ (১৯৮৪),14,
Humayun Ahmed,হিমু (১৯৯৩),14,
Humayun Ahmed,হিমুর রূপালী রাত্রি (১৯৯৮),14,
Sarat Chandra Chattopadhyay,৪র্থ পর্ব,14,
Shirshendu Mukhopadhyay,ঘুণপোকা,14,
Zafar Iqbal,রুহান রুহান,14,
Humayun Ahmed,অনন্ত অম্বরে,15,
Humayun Ahmed,চৈত্রের দ্বিতীয় দিবস (১৯৯৮),15,
Humayun Ahmed,ছায়াবীথি (১৯৯৪),15,
Humayun Ahmed,নির্বাচিত ভূতের গল্প,15,
Humayun Ahmed,পেন্সিলে আঁকা পরী,15,
Humayun Ahmed,রুমালী (১৯৯৭),15,
Humayun Ahmed,রূপালী দ্বীপ (১৯৯৪),15,
Humayun Ahmed,লিলুয়া বাতাস (২০০৬),15,
Sarat Chandra Chattopadhyay,পন্ডিতমশাই,15,
Sarat Chandra Chattopadhyay,শেষের পরিচয় (অসমাপ্ত উপন্যাস),15,
Sarat Chandra Chattopadhyay,২য় পর্ব,15,
Sarat Chandra Chattopadhyay,৩য় পর্ব,15,
Sunil Gangopadhyay,কাকাবাবু ও মরণফাঁদ (২০০২),15,
Zafar Iqbal,ইরাকাস,15,
Zafar Iqbal,মেতসিস,15,
Humayun Ahmed,দ্বৈরথ (১৯৮৯),16,
Humayun Ahmed,নির্বাসন,16,
Humayun Ahmed,পুফি – মিসির আলি,16,
Rabindranath Tagore,প্রজাপতির নির্বন্ধ,16,
Sarat Chandra Chattopadhyay,দেবদাস,16,
Sunil Gangopadhyay,আগুন পাখির রহস্য (১৯৯৪),16,
Zafar Iqbal,ইরন,16,
Zafar Iqbal,টুকুনজিন,16,
Bankim Chandra,১ম খণ্ড (উপক্রমণিকা),17,
Humayun Ahmed,ইরিনা,17,
Humayun Ahmed,একজন মায়াবতী,17,
Humayun Ahmed,প্রিয়পদরেখা,17,
Humayun Ahmed,প্রেমের গল্প,17,
Humayun Ahmed,ফেরা (১৯৮৩),17,
Rabindranath Tagore, শেষের কবিতা,17,
Samaresh Majumdar,কালাপাহাড় (অর্জুন সিরিজ) (১৯৯২),17,
Samaresh Majumdar,ফলে বিষের গন্ধ (১৯৯৬),17,
Sunil Gangopadhyay,এবার কাকাবাবুর প্রতিশোধ (২০০৭),17,
Zafar Iqbal,নয় নয় শূন্য তিন,17,
Humayun Ahmed,অন্ধকারের গান (১৯৯৭),18,
Humayun Ahmed,আকাশ জোড়া মেঘ,18,
Humayun Ahmed,নিষাদ – মিসির আলি,18,
Rabindranath Tagore,ঘরে বাইরে,18,
Samaresh Majumdar,ড্রাকুলার সন্ধানে অর্জুন (২০০০),18,
Sarat Chandra Chattopadhyay,বিরাজবৌ,18,
Shirshendu Mukhopadhyay,বিকেলের মৃত্যু,18,
Humayun Ahmed,প্রিয়তমেষু (১৯৮৮),19,
Rabindranath Tagore,গল্পসল্প,19,
Sarat Chandra Chattopadhyay,পল্লী-সমাজ,19,
Sunil Gangopadhyay,নীলমূর্তি রহস্য (১৯৯২),19,
Zafar Iqbal,অন্ধকারের গ্রহ,19,
Zafar Iqbal,আমার বন্ধু রাশেদ,19,
Humayun Ahmed,সবাই গেছে বনে,20,
Kazi Nazrul,কুহেলিকা (১৯৩১),20,
Samaresh Majumdar,দিনদুপুরেই রাতদুপুর (১৯৯৯),20,
Humayun Ahmed,জনম জনম,21,
Humayun Ahmed,বিবিধ/অগ্রন্থিত গল্প,21,
Kazi Nazrul,যুগবাণী,21,
Sunil Gangopadhyay,এক জীবনে,21,
Sunil Gangopadhyay,রানু ও ভানু,21,
Humayun Ahmed,অপেক্ষা,22,
Humayun Ahmed,লীলাবতী (২০০৫),22,
Humayun Ahmed,শুভ্র (২০০০),22,
Humayun Ahmed,এলেবেলে,23,
Sarat Chandra Chattopadhyay,চরিত্রহীন,23,
Humayun Ahmed,দেবী – মিসির আলি,24,
Humayun Ahmed,নিশীথিনী – মিসির আলি,24,
Humayun Ahmed,মাতাল হাওয়া (২০১০),24,
Humayun Ahmed,শ্রাবণমেঘের দিন (১৯৯৪),25,
Sunil Gangopadhyay,পাহাড় চূড়ায় আতঙ্ক (১৯৮১),25,
Humayun Ahmed,দেয়াল (২০১৩),26,
Humayun Ahmed,মেঘ বলেছে যাব যাব,26,
Humayun Ahmed,সকল কাঁটা ধন্য করে,26,
Sarat Chandra Chattopadhyay,বিপ্রদাস,26,
Sunil Gangopadhyay,জঙ্গলগড়ের চাবি (১৯৮৭),27,
Zafar Iqbal,কেপলার টুটুবি,27,
Humayun Ahmed,বহুব্রীহি (১৯৯০),28,
Humayun Ahmed,বাদশাহ নামদার,28,
Humayun Ahmed,সম্রাট (১৯৮৮),28,
Kazi Nazrul,মৃত্যুক্ষুধা (১৯৩০),28,
Sarat Chandra Chattopadhyay,দেনা-পাওনা,28,
Sarat Chandra Chattopadhyay,শেষ প্রশ্ন,28,
Humayun Ahmed,এই বসন্তে,29,
Humayun Ahmed,কে কথা কয় (২০০৬),29,
Sarat Chandra Chattopadhyay,শুভদা,30,
Sarat Chandra Chattopadhyay,পথের দাবী,31,
Humayun Ahmed,কবি (১৯৯৬)- হুমায়ূন আহমেদ,32,
Humayun Ahmed,মধ্যাহ্ন (২০০৭),33,
Humayun Ahmed,দূরে কোথাও,35,
Samaresh Majumdar,আট কুঠুরি নয় দরজা – সমরেশ মজুমদার,35,
Rabindranath Tagore,লিপিকা,39,
Samaresh Majumdar,সাতকাহন (২য় পর্ব) – উপন্যাস – সমরেশ মজুমদার,43,
Humayun Ahmed,কোথাও কেউ নেই,45,
Humayun Ahmed,এইসব দিনরাত্রি (১৯৯০),48,
Sunil Gangopadhyay, সেই সময় - ১ম পর্ব,50,
Samaresh Majumdar,গর্ভধারিণী – সমরেশ মজুমদার,51,
Samaresh Majumdar,সাতকাহন (১ম পর্ব) – উপন্যাস – সমরেশ মজুমদার,51,
Zafar Iqbal,সাদাসিধে কথা,51,
Rabindranath Tagore,চোখের বালি,54,
Samaresh Majumdar,কালপুরুষ – সমরেশ মজুমদার,63,
Sunil Gangopadhyay,প্রথম আলো – ১ম পর্ব,64,
Bankim Chandra,রাজসিংহ,65,
Sunil Gangopadhyay,পূর্ব-পশ্চিম – ২য় খণ্ড,72,
Humayun Ahmed,জোছনা ও জননীর গল্প,73,
Rabindranath Tagore,গোরা,77,
Sunil Gangopadhyay,সেই সময় – ২য় পর্ব,82,
Shirshendu Mukhopadhyay,মানবজমিন – শীর্ষেন্দু মুখোপাধ্যায়,83,
Sunil Gangopadhyay,প্রথম আলো – ২য় পর্ব,88,
Shirshendu Mukhopadhyay,গল্প (শীর্ষেন্দু মুখোপাধ্যায়),97,
Rabindranath Tagore,গল্পগুচ্ছ,101,
Samaresh Majumdar,গল্প (সমরেশ মজুমদার),103,
Shirshendu Mukhopadhyay,দূরবীন – শীর্ষেন্দু মুখোপাধ্যায়,106,
Sunil Gangopadhyay,পূর্ব-পশ্চিম – ১ম খণ্ড,116,
Shirshendu Mukhopadhyay,পার্থিব – শীর্ষেন্দু মুখোপাধ্যায়,120,
Rabindranath Tagore,নৌকাডুবি,151,
